idCompetition , Libelle ,  Prize , idCountry , idSeason , idTeamWin
1,ESL League 1943 1,3249334,1,1,1
1,IEM League 1943 1,3787429,1,1,1
1,ESL League 1943 1,2453241,1,1,1
1,Starladder League 1943 1,4421775,1,1,1
1,ESL League 1943 1,4088354,1,1,1
1,ESL League 1943 1,1607175,1,1,1
1,Starladder League 1943 1,1540882,1,1,1
1,ESL League 1943 1,5709068,1,1,1
1,MLG League 1943 1,2388772,1,1,1
1,IEM League 1943 1,4529248,1,1,1
1,MLG League 1943 1,1413953,1,1,1
1,Starladder League 1943 1,2510584,1,1,1
1,Starladder League 1943 1,5709908,1,1,1
1,ESL League 1943 1,2761638,1,1,1
1,Starladder League 1943 1,2812645,1,1,1
1,GFinity League 1943 1,1196676,1,1,1
1,MLG League 1943 1,6542603,1,1,1
1,IEM League 1943 1,3188130,1,1,1
1,MLG League 1943 1,4948809,1,1,1
1,ESL League 1943 1,1606014,1,1,1
1,GFinity League 1943 1,3944941,1,1,1
1,Starladder League 1943 1,3907067,1,1,1
1,Starladder League 1943 1,4339955,1,1,1
1,IEM League 1943 1,2099828,1,1,1
1,GFinity League 1943 1,1398165,1,1,1
1,GFinity League 1943 1,3575913,1,1,1
1,IEM League 1943 1,1516196,1,1,1
1,Starladder League 1943 1,4354029,1,1,1
1,IEM League 1943 1,5935188,1,1,1
1,IEM League 1943 1,3081183,1,1,1
1,Starladder League 1943 1,2928814,1,1,1
1,IEM League 1943 1,5115632,1,1,1
1,ESL League 1943 1,4943603,1,1,1
1,ESL League 1943 1,2526500,1,1,1
1,ESL League 1943 1,4502315,1,1,1
1,GFinity League 1943 1,1738032,1,1,1
1,GFinity League 1943 1,3672764,1,1,1
1,ESL League 1943 1,3777204,1,1,1
1,IEM League 1943 1,6095970,1,1,1
1,IEM League 1943 1,1223287,1,1,1
1,ESL League 1943 1,6187494,1,1,1
1,GFinity League 1943 1,6741027,1,1,1
1,IEM League 1943 1,2632213,1,1,1
1,Starladder League 1943 1,5108867,1,1,1
1,GFinity League 1943 1,4392635,1,1,1
1,GFinity League 1943 1,5595778,1,1,1
1,ESL League 1943 1,1517022,1,1,1
1,Starladder League 1943 1,1129649,1,1,1
1,IEM League 1943 1,6161095,1,1,1
1,MLG League 1943 1,5072024,1,1,1
1,IEM League 1943 1,3360464,1,1,1
1,Starladder League 1943 1,1859046,1,1,1
1,IEM League 1943 1,2237986,1,1,1
1,IEM League 1943 1,1976193,1,1,1
1,GFinity League 1943 1,1166307,1,1,1
1,MLG League 1943 1,4773218,1,1,1
1,ESL League 1943 1,2145606,1,1,1
1,IEM League 1943 1,4998825,1,1,1
1,ESL League 1943 1,6029573,1,1,1
1,MLG League 1943 1,5942823,1,1,1
1,GFinity League 1943 1,6922207,1,1,1
1,MLG League 1943 1,4262765,1,1,1
1,GFinity League 1943 1,6745247,1,1,1
1,GFinity League 1943 1,5893014,1,1,1
1,MLG League 1943 1,6167079,1,1,1
1,ESL League 1943 1,2400944,1,1,1
1,ESL League 1943 1,1001030,1,1,1
1,ESL League 1943 1,6895539,1,1,1
1,MLG League 1943 1,4828673,1,1,1
1,ESL League 1943 1,5139879,1,1,1
1,Starladder League 1943 1,5434649,1,1,1
1,ESL League 1943 1,6553133,1,1,1
1,IEM League 1943 1,4659704,1,1,1
1,GFinity League 1943 1,5673191,1,1,1
1,ESL League 1943 1,6672465,1,1,1
1,ESL League 1943 1,5534175,1,1,1
1,Starladder League 1943 1,6709524,1,1,1
1,ESL League 1943 1,4603933,1,1,1
1,IEM League 1943 1,3551892,1,1,1
1,IEM League 1943 1,4598261,1,1,1
1,Starladder League 1943 2,5525101,2,2,21
1,ESL League 1943 2,2775769,2,2,21
1,MLG League 1943 2,2097850,2,2,21
1,ESL League 1943 2,4244934,2,2,21
1,IEM League 1943 2,5118310,2,2,21
1,Starladder League 1943 2,5748147,2,2,21
1,ESL League 1943 2,1341606,2,2,21
1,IEM League 1943 2,2300287,2,2,21
1,IEM League 1943 2,3199819,2,2,21
1,ESL League 1943 2,4212609,2,2,21
1,MLG League 1943 2,6330645,2,2,21
1,GFinity League 1943 2,4237085,2,2,21
1,Starladder League 1943 2,5796007,2,2,21
1,MLG League 1943 2,5843171,2,2,21
1,MLG League 1943 2,4838083,2,2,21
1,GFinity League 1943 2,5349974,2,2,21
1,MLG League 1943 2,3343838,2,2,21
1,IEM League 1943 2,4248900,2,2,21
1,ESL League 1943 2,3802690,2,2,21
1,GFinity League 1943 2,3031577,2,2,21
1,GFinity League 1943 2,3754842,2,2,21
1,ESL League 1943 2,6893010,2,2,21
1,Starladder League 1943 2,1742486,2,2,21
1,MLG League 1943 2,5575421,2,2,21
1,IEM League 1943 2,3657676,2,2,21
1,MLG League 1943 2,6838940,2,2,21
1,GFinity League 1943 2,2841047,2,2,21
1,ESL League 1943 2,6708422,2,2,21
1,Starladder League 1943 2,1285335,2,2,21
1,Starladder League 1943 2,4405594,2,2,21
1,IEM League 1943 2,4557567,2,2,21
1,IEM League 1943 2,4557734,2,2,21
1,GFinity League 1943 2,2393291,2,2,21
1,MLG League 1943 2,2296092,2,2,21
1,Starladder League 1943 2,4895623,2,2,21
1,IEM League 1943 2,5505432,2,2,21
1,GFinity League 1943 2,5696123,2,2,21
1,MLG League 1943 2,5493078,2,2,21
1,ESL League 1943 2,5162605,2,2,21
1,ESL League 1943 2,1174751,2,2,21
1,IEM League 1943 2,1370028,2,2,21
1,IEM League 1943 2,4267921,2,2,21
1,MLG League 1943 2,3940597,2,2,21
1,IEM League 1943 2,1413076,2,2,21
1,ESL League 1943 2,4299513,2,2,21
1,MLG League 1943 2,3691787,2,2,21
1,Starladder League 1943 2,6304965,2,2,21
1,Starladder League 1943 2,1624393,2,2,21
1,IEM League 1943 2,2683959,2,2,21
1,GFinity League 1943 2,6604813,2,2,21
1,MLG League 1943 2,6413447,2,2,21
1,Starladder League 1943 2,1553948,2,2,21
1,ESL League 1943 2,1820379,2,2,21
1,ESL League 1943 2,6459771,2,2,21
1,IEM League 1943 2,4970031,2,2,21
1,Starladder League 1943 2,4239698,2,2,21
1,ESL League 1943 2,5236942,2,2,21
1,MLG League 1943 2,2719871,2,2,21
1,GFinity League 1943 2,6435256,2,2,21
1,ESL League 1943 2,2201903,2,2,21
1,Starladder League 1943 2,2489858,2,2,21
1,Starladder League 1943 2,3726778,2,2,21
1,Starladder League 1943 2,6670652,2,2,21
1,IEM League 1943 2,5333908,2,2,21
1,Starladder League 1943 2,3254353,2,2,21
1,Starladder League 1943 2,3936158,2,2,21
1,IEM League 1943 2,3958910,2,2,21
1,GFinity League 1943 2,2213854,2,2,21
1,MLG League 1943 2,5042870,2,2,21
1,Starladder League 1943 2,3670279,2,2,21
1,Starladder League 1943 2,3468694,2,2,21
1,Starladder League 1943 2,3468013,2,2,21
1,ESL League 1943 2,4491648,2,2,21
1,ESL League 1943 2,1121035,2,2,21
1,ESL League 1943 2,6698224,2,2,21
1,IEM League 1943 2,1834309,2,2,21
1,MLG League 1943 2,6352061,2,2,21
1,ESL League 1943 2,5018075,2,2,21
1,IEM League 1943 2,3479693,2,2,21
1,IEM League 1943 2,1490437,2,2,21
1,ESL League 1943 3,1615189,3,3,41
1,MLG League 1943 3,6344070,3,3,41
1,Starladder League 1943 3,4638151,3,3,41
1,ESL League 1943 3,4310093,3,3,41
1,IEM League 1943 3,2505742,3,3,41
1,Starladder League 1943 3,5769984,3,3,41
1,Starladder League 1943 3,6336495,3,3,41
1,ESL League 1943 3,2863331,3,3,41
